track_name,title,artist,album,bpm,genre,duration,extension,full_file_name
Love Colours - Nickon Faith (Original Mix) 137,Nickon Faith (Original Mix) 137,Love Colours,,137,,06:11,.mp3,Love Colours - Nickon Faith (Original Mix) 137.mp3
Makineta - Asphalt Dj (Original Mix) 142,Asphalt Dj (Original Mix) 142,Makineta,,142,,06:52,.mp3,Makineta - Asphalt Dj (Original Mix) 142.mp3
Mastermind - Andy Garvey (Al Dente Remix) 140,Andy Garvey (Al Dente Remix) 140,Mastermind,,140,,06:26,.mp3,Mastermind - Andy Garvey (Al Dente Remix) 140.mp3
Metamorphis - Skywalka (Original Mix) 145,Skywalka (Original Mix) 145,Metamorphis,,145,,07:33,.mp3,Metamorphis - Skywalka (Original Mix) 145.mp3
Metamorphose - Guacamoe (Original Mix) 160,Guacamoe (Original Mix) 160,Metamorphose,,160,,04:44,.mp3,Metamorphose - Guacamoe (Original Mix) 160.mp3
Midnight Mauler - 8-Bit Culprit (Original Mix) 142,8-Bit Culprit (Original Mix) 142,Midnight Mauler,,142,,05:55,.mp3,Midnight Mauler - 8-Bit Culprit (Original Mix) 142.mp3
Need Oxygen - Wvchwy (Original Mix) 148,Wvchwy (Original Mix) 148,Need Oxygen,,148,,04:47,.mp3,Need Oxygen - Wvchwy (Original Mix) 148.mp3
Networks - Rowant (Original Mix) 135,Rowant (Original Mix) 135,Networks,,135,,05:01,.mp3,Networks - Rowant (Original Mix) 135.mp3
Neural Nectar - Adam Pits (Original) 133,Adam Pits (Original) 133,Neural Nectar,,133,,07:54,.mp3,Neural Nectar - Adam Pits (Original) 133.mp3
Nur - Liasis (Original Mix) 106,Liasis (Original Mix) 106,Nur,,106,,07:22,.mp3,Nur - Liasis (Original Mix) 106.mp3
Ocean Blue - Hoopoe (Original Mix) 128,Hoopoe (Original Mix) 128,Ocean Blue,,128,,09:46,.mp3,Ocean Blue - Hoopoe (Original Mix) 128.mp3
One More - Human Trax (Original Mix) 150,Human Trax (Original Mix) 150,One More,,150,,05:39,.mp3,One More - Human Trax (Original Mix) 150.mp3
Orbit Breaker - Azo (Original Mix) 138,Azo (Original Mix) 138,Orbit Breaker,,138,,05:39,.mp3,Orbit Breaker - Azo (Original Mix) 138.mp3
Outlander - Activa (Mac & Monday Extended Deep Mix) 134,Activa (Mac & Monday Extended Deep Mix) 134,Outlander,,134,,07:17,.mp3,Outlander - Activa (Mac & Monday Extended Deep Mix) 134.mp3
Outside - Bliss Inc. (Original Mix) 131,Bliss Inc. (Original Mix) 131,Outside,,131,,06:24,.mp3,Outside - Bliss Inc. (Original Mix) 131.mp3
Pacific 98 - Wigs (Original Mix) 135,Wigs (Original Mix) 135,Pacific 98,,135,,06:17,.mp3,Pacific 98 - Wigs (Original Mix) 135.mp3
Paradise Sami - Treasure Island (Bliss Inc. Remix) 134,Treasure Island (Bliss Inc. Remix) 134,Paradise Sami,,134,,06:43,.mp3,Paradise Sami - Treasure Island (Bliss Inc. Remix) 134.mp3
Perfect Motion - Rise And Fall (Dub Mix) 120,Rise And Fall (Dub Mix) 120,Perfect Motion,,120,,07:29,.mp3,Perfect Motion - Rise And Fall (Dub Mix) 120.mp3
Planet Unreal - Bliss Inc (Original Mix) 138,Bliss Inc (Original Mix) 138,Planet Unreal,,138,,07:40,.mp3,Planet Unreal - Bliss Inc (Original Mix) 138.mp3
Preguntá - Conrado Stein (Original Mix) 142,Conrado Stein (Original Mix) 142,Preguntá,,142,,05:28,.mp3,Preguntá - Conrado Stein (Original Mix) 142.mp3
Refractor - Pire Meilleur (Original Mix) 146,Pire Meilleur (Original Mix) 146,Refractor,,146,,07:09,.mp3,Refractor - Pire Meilleur (Original Mix) 146.mp3
"Remember Me, I'll Remember You - Nomas (Original Mix) 140",Nomas (Original Mix) 140,"Remember Me, I'll Remember You",,140,,07:52,.mp3,"Remember Me, I'll Remember You - Nomas (Original Mix) 140.mp3"
Rotonda - Autoflower (Original Mix) 134,Autoflower (Original Mix) 134,Rotonda,,134,,06:01,.mp3,Rotonda - Autoflower (Original Mix) 134.mp3
Scottish Piano - Tre Turner (Close Proximity Trance Mix) 135,Tre Turner (Close Proximity Trance Mix) 135,Scottish Piano,,135,,05:41,.mp3,Scottish Piano - Tre Turner (Close Proximity Trance Mix) 135.mp3
Second Self - Keistep (Original Mix) 130,Keistep (Original Mix) 130,Second Self,,130,,07:10,.mp3,Second Self - Keistep (Original Mix) 130.mp3
"Signals In Movement - Audrey Danza, Andrea Dama (Original) 137","Audrey Danza, Andrea Dama (Original) 137",Signals In Movement,,137,,07:10,.mp3,"Signals In Movement - Audrey Danza, Andrea Dama (Original) 137.mp3"
"Simplexio - Diego Montiel, Elfenberg (Elfenberg Remix) 133","Diego Montiel, Elfenberg (Elfenberg Remix) 133",Simplexio,,133,,05:21,.mp3,"Simplexio - Diego Montiel, Elfenberg (Elfenberg Remix) 133.mp3"
"So Cool - Younger Than Me, Maruwa (Original Mix) 139","Younger Than Me, Maruwa (Original Mix) 139",So Cool,,139,,05:17,.mp3,"So Cool - Younger Than Me, Maruwa (Original Mix) 139.mp3"
Space To Come - Ayu (Maara Remix) 140,Ayu (Maara Remix) 140,Space To Come,,140,,06:37,.mp3,Space To Come - Ayu (Maara Remix) 140.mp3
Speed Train - Jimi Python (Extended Mix) 130,Jimi Python (Extended Mix) 130,Speed Train,,130,,06:40,.mp3,Speed Train - Jimi Python (Extended Mix) 130.mp3
